Topic,Count,Name,Representation,Representative_Docs
57,101,57_aerosols_aerosol_particles_black,"['aerosols', 'aerosol', 'particles', 'black', 'forcing', 'absorbing', 'radiation', 'radiative', 'albedo', 'direct']","['Early studies of the effects of aerosols on atmospheric radiative transfer on a global scale assumed a dominantly scattering aerosol with only a small absorbing component, since this appears to be a good representation of naturally occurring aerosols.', 'Aerosol particles of natural origin (such as windblown dust) tend to have a larger radius than human-produced aerosols such as particle pollution.', 'Aerosol science covers generation and removal of aerosols, technological application of aerosols, effects of aerosols on the environment and people, and other topics.']"
58,93,58_carbon_dioxide_capture_storage,"['carbon', 'dioxide', 'capture', 'storage', 'atmosphere', 'sequestration', 'compounds', 'cycle', 'processes', 'removed']","['Carbon sequestration is the process involved in carbon capture and the long-term storage of atmospheric carbon dioxide () and may refer specifically to:', 'Biosequestration is the capture and storage of the atmospheric greenhouse gas carbon dioxide by biological processes.', 'Carbon sequestration is the process involved in carbon capture and the long-term storage of atmospheric carbon dioxide or other forms of carbon to mitigate or defer global warming.']"
59,92,59_geothermal_power_electricity_capacity,"['geothermal', 'power', 'electricity', 'capacity', 'stations', 'heat', 'energy', 'generation', 'heating', 'online']","['In 2010, the United States led the world in geothermal electricity production with 3,086 MW of installed capacity from 77 power stations; the largest group of geothermal power plants in the world is located at The Geysers, a geothermal field in California.', 'Geothermal power is power generated by geothermal energy.', 'It is being exploited for geothermal energy.']"
60,92,60_stage_lived_period_late,"['stage', 'lived', 'period', 'late', 'ago', 'million', 'formation', 'genus', 'fossils', 'remains']","['It lived from 501 to 490 million years ago during the Dresbachian faunal stage of the late Cambrian Period.', 'It lived from 501 to 490 million years ago during the Dresbachian faunal stage of the late Cambrian Period.', 'It lived from 501 to 490 million years ago during the Dresbachian faunal stage of the late Cambrian Period.']"
61,91,61_asteroid_asteroids_diameter_comet,"['asteroid', 'asteroids', 'diameter', 'comet', 'kilometers', 'albedo', 'impact', 'earth', 'magnitude', 'type']","['The Collaborative Asteroid Lightcurve Link assumes a standard albedo for carbonaceous asteroids of 0.057 and calculates a smaller diameter of 34.4 kilometers, based on a weaker absolute magnitude of 11.05.', ""According to the space-based survey carried out by the Japanese Akari satellite and NASA 's NEOWISE mission, the asteroid measures 4.0 and 6.8 kilometers in diameter, and its surface has an albedo of 0.14 and 0.34, respectively, while the Collaborative Asteroid Lightcurve Link assumes a standard albedo for stony asteroids of 0.20 and calculates a diameter of 5.1 kilometers, based on an absolute magnitude of 13.84."", 'The Collaborative Asteroid Lightcurve Link calculates a diameter of 10.5 kilometers, based on an absolute magnitude of 13.6 and an assumed standard albedo for carbonaceous asteroids of 0.057.']"
62,90,62_ice_shelf_glacier_arctic,"['ice', 'shelf', 'glacier', 'arctic', 'sea', 'extent', 'shelves', 'free', 'sheet', 'summer']","['The Matusevich Ice Shelf was a 222\xa0km² ice shelf located in Severnaya Zemlya being fed by some of the largest ice caps on October Revolution Island, the Karpinsky Ice Cap to the south and the Rusanov Ice Cap to the north.', 'Out on the ice, they walk over a thin patch and the ice starts to break.', 'Most of the discharge of the West Antarctic Ice Sheet is via the five major ice streams (faster flowing ice) entering the Ross Ice Shelf, the Rutford Ice Stream entering Ronne-Filchner shelf of the Weddell Sea, and the Thwaites Glacier and Pine Island Glacier entering the Amundsen Ice Shelf.']"
63,88,63_lake_lakes_depth_ft,"['lake', 'lakes', 'depth', 'ft', 'water', 'area', 'great', 'km2', 'level', 'maximum']","['In reality, the lake is more of a lagoon than a lake.', 'Lower Mystic Lake is a meromictic lake, which means that the lake has a deep layer of water that rarely, if ever, mixes with its top waters.', 'It has a drainage area of 700 mi2 consisting of a number of lakes, chief among which are Mari Lake, 19 mi2, Barrier Lake, 55 mi2, and Birch Burntwood Lake, 16 mi2.']"
64,82,64_ocean_circulation_currents_stream,"['ocean', 'circulation', 'currents', 'stream', 'salinity', 'thermohaline', 'density', 'north', 'deep', 'driven']","['The thermohaline circulation is mainly driven by the formation of deep water masses in the North Atlantic and the Southern Ocean caused by differences in temperature and salinity of the water.', 'Deep ocean currents are driven by density and temperature gradients.', 'The thermohaline circulation is a part of the large-scale ocean circulation that is driven by global density gradients created by surface heat and freshwater fluxes.']"
65,82,65_change_climate_migration_impacts,"['change', 'climate', 'migration', 'impacts', 'changes', 'effects', 'term', 'refers', 'induced', 'disasters']","['Global warming and climate change are often used interchangeably.', 'In recent usage, especially in the context of environmental policy, the term ""climate change"" often refers only to changes in modern climate, including the rise in average surface temperature known as global warming.', 'Climate change']"
66,82,66_marshes_habitats_freshwater_rivers,"['marshes', 'habitats', 'freshwater', 'rivers', 'salt', 'wetlands', 'natural', 'lakes', 'plants', 'seas']","['Its natural habitats are rivers, swamps, freshwater marshes, and intermittent freshwater marshes.', 'Its natural habitats are rivers, freshwater marshes, and intermittent freshwater marshes.', 'Its natural habitats are rivers and freshwater marshes.']"
67,82,67_snow_snowfall_heavy_fell,"['snow', 'snowfall', 'heavy', 'fell', 'parts', 'cm', 'northern', 'brought', 'north', 'places']","['Farmington Canyon in Davis County saw the most snow of any place in the storm, with 103 inches (262 cm) of snow.', 'It is a crevasse in which snow can be found well into the summer.', 'Heavy snow showers brought accumulation up to 3\xa0cm in Aberdeenshire, Perth, Kinross and Fife, with some snow showers reaching Glasgow and western parts in the afternoon and evening.']"
68,79,68_drought_droughts_crops_severe,"['drought', 'droughts', 'crops', 'severe', 'rainfall', 'farmers', 'worst', 'region', 'harmful', 'cause']","['For the last few years the region has been suffering from drought.', 'For the next four years the area was struck by drought.', 'In drought it shrinks and becomes desiccated.']"
69,78,69_externalities_economics_green_external,"['externalities', 'economics', 'green', 'external', 'benefit', 'social', 'economy', 'benefits', 'jobs', 'negative']","['Externalities can be either positive or negative.', 'Inframarginal externalities are externalities in which there is no benefit or loss to the marginal consumer.', 'Ecological economics is founded upon the view that the neoclassical economics (NCE) assumption that environmental and community costs and benefits are mutually cancelling ""externalities"" is not warranted.']"
70,74,70_erosion_soil_soils_vegetation,"['erosion', 'soil', 'soils', 'vegetation', 'wind', 'arid', 'material', 'degradation', 'loss', 'rainfall']","['While erosion of soils is a natural process, human activities have increased by 10-40 times the rate at which erosion is occurring globally.', 'sheet erosion, silting, aridification, salinization, urbanization, etc.', 'Splash erosion is generally seen as the first and least severe stage in the soil erosion process, which is followed by sheet erosion, then rill erosion and finally gully erosion (the most severe of the four).']"
71,74,71_calendar_leap_year_starting,"['calendar', 'leap', 'year', 'starting', 'link', 'day', 'apparent', 'diameter', 'total', 'sunlight']","['Year 472 (CDLXXII) was a leap year starting on Saturday (link will display the full calendar) of the Julian calendar.', 'Year 1280 (MCCLXXX) was a leap year starting on Monday (link will display the full calendar) of the Julian calendar.', 'Year 1184 (MCLXXXIV) was a leap year starting on Sunday (link will display the full calendar) of the Julian calendar.']"
72,73,72_degrees_credits_offers_degree,"['degrees', 'credits', 'offers', 'degree', 'programs', 'education', 'academic', 'level', 'course', 'year']","['The university offers degrees in these departments at the B.A. and M.A. levels, as well as two Ph.D. degrees in these fields.', 'It offers over 94 undergraduate degrees, 48 graduate programs, and 6 associate degrees in many different disciplines.', ""The school offers ten associate 's degrees and three bachelor 's degrees.""]"
73,72,73_latitude_located_altitude_metres,"['latitude', 'located', 'altitude', 'metres', 'feet', 'south', '34', 'degrees', 'north', 'equatorial']","['It is located at 0.5 ° North Latitude, 239.7 ° West Longitude and is approximately 311 km across.', 'It is located at latitude 28.9671223 and longitude 79.3747141.', 'It is located at Latitude 28.15285, Longitude 94.12288.']"
74,71,74_rose_points_game_play,"['rose', 'points', 'game', 'play', 'born', 'season', 'played', 'team', '2013', '23']","['Rosa bridgesii is a species of rose known by the common names pygmy rose and Sierran dwarf rose.', 'Rose is a Christian.', 'Rose is now a grandmother of six.']"
75,70,75_heat_steam_heating_used,"['heat', 'steam', 'heating', 'used', 'thermal', 'storage', 'cooling', 'air', 'building', 'buildings']","['Combined heat and power (CHP) plants recover otherwise wasted thermal energy for heating.', 'Combined heat and power (CHP), also known as cogeneration, is the use of a thermal power station to provide both electric power and heat (the latter being used, for example, for district heating purposes).', 'A heat pump is a device that provides heat energy from a source of heat to a destination called a ""heat sink"".']"
76,67,76_road_west_east_south,"['road', 'west', 'east', 'south', 'runs', 'north', 'city', 'mi', 'river', 'miles']","['It is located on the B1084 road which runs east to west.', 'It runs east-west, from St John Street in the east, to Farringdon Road in the west.', 'It is bounded on the west by 231 Street NW, north by the Hawks Ridge neighbourhood, east by 215 Street NW (Winterburn Road), and south by Yellowhead Trail (Highway 16).']"
77,66,77_century_19th_dates_dated,"['century', '19th', 'dates', 'dated', 'middle', '20th', '600', 'period', 'history', 'centuries']","['Palaeographically it has been assigned to the 12th century.', 'Palaeographically it has been assigned to the 12th-century.', 'Palaeographically it has been assigned to the 12th century.']"
78,66,78_limit_limiting_pre_global,"['limit', 'limiting', 'pre', 'global', 'warming', 'industrial', 'agreement', 'levels', 'temperature', 'relative']","['For example, limiting global warming to 1.5\xa0°C relative to pre-industrial levels reduces climate change damages more than a 2\xa0°C limit.', 'For example, limiting global warming to 1\xa0°C relative to pre-industrial levels may help to reduce climate change damages more than a 2\xa0°C limit.', ""The Paris Agreement's long-term temperature goal is to keep the increase in global average temperature to well below 2°C above pre-industrial levels; and to pursue efforts to limit the increase to 1.5°C.""]"
79,61,79_warming_human_likely_observed,"['warming', 'human', 'likely', 'observed', 'global', 'believe', 'activities', 'dominant', 'activity', 'consensus']","['There is a clear human influence on the climate It is extremely likely that human influence has been the dominant cause of observed warming since 1950, with the level of confidence having increased since the fourth report.', 'GHG emissions due to anthropogenic (human) activity are the dominant cause of observed global warming (climate change) since the mid-20th century.', 'The scientific consensus as of 2013[update], as stated in the IPCC Fifth Assessment Report, is that it ""is extremely likely that human influence has been the dominant cause of the observed warming since the mid-20th century"".']"
80,58,80_war_military_intervention_attack,"['war', 'military', 'intervention', 'attack', 'conflict', 'regime', 'operation', 'attempts', 'led', 'weapons']","['The U.S. was in a declared state of war at the time of passage, involved in the conflict at the time referred to as the Great War but generally later referred to as the First World War.', ""The American-English Dictionary defines total war as ``war that is unrestricted in terms of the weapons used, the territory or combatants involved, or the objectives pursued, especially one in which the laws of war are disregarded.''"", ""In a state of ``total war'', the major participants placed their entire economic, industrial, and scientific capabilities at the service of the war effort, erasing the distinction between civilian and military resources.""]"
81,58,81_fight_best_light_known,"['fight', 'best', 'light', 'known', 'mixed', 'night', 'continuous', 'currently', 'moved', 'team']","['A professional mixed martial artist since 2003, Bradley is best known for his four fight stint with the Ultimate Fighting Championship.', 'He competed in the UFC and also had a one fight stint as an alternate for the New York Pitbulls of the International Fight League.', 'He is also a retired mixed martial artist, who is perhaps best known for his four-fight stint in the Light Heavyweight division of the Ultimate Fighting Championship.']"
82,57,82_emissions_percent_1990_aviation,"['emissions', 'percent', '1990', 'aviation', 'aircraft', '2007', 'decreased', 'year', 'intensity', 'emission']","['In the EU, greenhouse gas emissions from aviation increased by 87% between 1990 and 2006.', ""Beyond 2012 if the growth rate were reduced to three percent yearly, carbon emissions in 2030 would be 28 MT, which is 70 percent of the UK's entire carbon emissions budget that year for all sectors of society."", ""The change in emissions from 1990 to 2007 was +52.5 percent, compared to the EU's -3.3 percent.""]"
83,57,83_population_density_square_people,"['population', 'density', 'square', 'people', 'inhabitants', 'km', '000', 'estimated', 'total', 'area']","['The population density was 1,950.0 people per square mile (748.6/km²).', 'Population density : 6,357 people per square mile', 'The population density was 1,699.3 people per square mile (657.2/km²).']"
84,54,84_buildings_restoration_tower_building,"['buildings', 'restoration', 'tower', 'building', 'structures', 'construction', 'structure', 'built', 'town', 'began']","['In the 1990s the historical buildings were extensively restored and numerous new buildings were erected.', 'The house was particularly distinctive for its onion-domed tower near the center of the structure, an unusual placement and topping for such a tower.', 'According to Loew, the archaeological evidence suggests that it took a couple of years before new streets and buildings were built on top of the flattened debris of the former buildings, though there probably were areas of the town which had remained unharmed.']"
85,53,85_hockey_season_ice_play,"['hockey', 'season', 'ice', 'play', 'international', 'level', 'world', 'series', 'second', 'team']","['The 2004–05 Kazakhstan Hockey Championship was the 13th season of the Kazakhstan Hockey Championship, the top level of ice hockey in Kazakhstan.', 'Ice hockey tournaments have been staged at the Universiade since 1962.', 'The 1968-69 Soviet Cup was the 11th edition of the Soviet Cup ice hockey tournament.']"
86,52,86_heat_wave_mortality_deaths,"['heat', 'wave', 'mortality', 'deaths', 'related', '2003', 'people', 'temperatures', 'extreme', 'died']","['The Centers for Disease Control and Prevention notes that it ""is difficult to make valid projections of heat-related illness and death under varying climate change scenarios"" and that ""heat–related deaths are preventable, as evidenced by the decline of all-cause mortality during heat events over the past 35 years"".', 'The 2003 European heat wave killed 22,000–35,000 people, based on normal mortality rates.', ""One piece of their evidence is that in summer 2003, during Europe's big heat wave, there were 70,000 recorded deaths related to the heat.""]"
87,51,87_hotel_rooms_star_tower,"['hotel', 'rooms', 'star', 'tower', 'building', 'story', '11', 'total', 'largest', 'completed']","['The number of hotel rooms owned by Zara Investment is 2131 ; which equals 30 % of the total of 5-star hotel rooms in Jordan, and 26 % of the workforce.', 'Opened in March 2013, the original hotel had 128 rooms ; an expansion was completed in October 2015 with the opening of an additional hotel tower with 109 deluxe rooms and luxury suites increasing hotel accommodations to a total of 237 rooms and suites.', 'The hotel was eight stories tall, and featured 153 guest rooms.']"
88,50,88_million_billion_cost_estimated,"['million', 'billion', 'cost', 'estimated', 'budget', 'film', 'dollars', 'total', 'raised', '15']","['686 million (US$ 190 million).', 'The total economic cost of the slide has been estimated to 140 million SEK (15 million EUR, 22 million USD).', 'Both phases is estimated to cost over US$ 130 million.']"
